siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Three Pines Bog,47.0,-80.116667,10.0,0.24751060026,404.0231,57.6,44.6,46.8,53.4,69.4,83.6,86.5,83.9,101.9,74.9,66.9,60.8,-17.69,-16.96,-11.13,-2.59,3.75,9.49,12.63,11.22,7.09,1.81,-3.83,-12.55,-6.6,-5.05,0.41,8.27,16.06,21.44,24.38,22.83,17.95,11.28,3.4,-3.45
Three Pines Bog,47.0,-80.116667,50.0,0.473920060586,422.0121,56.6,47.5,55.4,64.5,75.8,76.5,71.4,71.0,96.7,76.8,68.5,59.3,-21.19,-19.78,-12.58,-2.83,4.1,9.83,12.79,11.21,6.83,0.86,-5.89,-15.72,-9.81,-7.7,-1.07,7.96,16.55,22.26,25.19,23.36,17.95,10.39,1.43,-6.38
Three Pines Bog,47.0,-80.116667,90.0,0.422830299174,473.003,55.4,43.0,45.3,51.4,65.6,77.1,79.0,77.5,96.5,72.3,64.9,58.6,-19.58,-19.05,-13.43,-4.68,2.38,9.04,12.64,10.98,6.1,0.16,-5.75,-14.42,-8.0,-6.54,-1.16,6.96,15.36,21.47,24.74,22.93,17.39,10.12,1.97,-4.86
Three Pines Bog,47.0,-80.116667,222.0,0.642395123108,467.0023,58.8,47.5,52.2,58.5,69.0,72.3,69.5,69.5,94.0,75.2,69.0,61.6,-20.98,-19.39,-11.98,-2.37,4.01,9.0,11.59,10.21,6.43,0.96,-5.6,-15.5,-9.47,-7.16,-0.37,8.37,16.13,20.83,23.25,21.67,17.07,10.26,1.67,-6.1
Three Pines Bog,47.0,-80.116667,447.0,0.250625498588,399.0017,55.9,48.2,59.4,69.5,76.4,69.8,62.6,65.2,98.5,83.3,73.5,60.1,-20.22,-18.87,-11.8,-2.39,4.03,9.24,12.02,10.71,6.91,1.48,-4.95,-14.71,-8.41,-6.45,-0.08,8.5,16.49,21.67,24.46,22.99,18.27,11.36,2.79,-4.92
Three Pines Bog,47.0,-80.116667,672.0,0.40650307357,492.0012,64.5,52.5,56.3,61.5,71.8,75.2,70.8,67.7,87.2,69.3,66.6,64.2,-19.08,-18.4,-12.27,-3.37,3.22,9.12,12.48,11.36,7.46,2.08,-4.06,-13.47,-7.36,-6.15,-0.76,7.32,15.53,21.46,24.92,23.74,19.0,12.14,3.81,-3.66
Three Pines Bog,47.0,-80.116667,897.0,0.230946295517,433.0011,65.9,54.8,60.4,67.5,79.6,83.0,77.2,72.7,91.9,71.8,67.9,65.1,-19.22,-18.39,-12.06,-3.08,3.44,9.15,12.36,11.22,7.39,2.03,-4.15,-13.63,-7.78,-6.39,-0.75,7.42,15.5,21.15,24.42,23.23,18.61,11.84,3.46,-4.1
Three Pines Bog,47.0,-80.116667,1122.0,1.43736487487,487.0023,60.4,50.9,58.0,67.5,82.4,87.9,82.5,77.2,95.8,72.3,65.6,60.6,-20.67,-19.44,-12.42,-2.94,3.67,9.13,12.11,10.87,7.02,1.48,-5.1,-15.01,-8.69,-6.69,-0.21,8.39,16.26,21.25,23.97,22.59,18.07,11.29,2.7,-5.13
Three Pines Bog,47.0,-80.116667,1347.0,0.47619047619,420.0,54.9,47.1,56.4,67.7,82.3,85.2,78.9,75.3,96.8,73.5,64.4,56.3,-19.13,-18.3,-11.99,-3.08,3.33,8.93,12.1,10.99,7.25,2.0,-4.11,-13.55,-7.48,-6.09,-0.51,7.48,15.26,20.61,23.75,22.67,18.35,11.86,3.67,-3.82
Three Pines Bog,47.0,-80.116667,1572.0,0.425528746063,470.0035,61.1,49.4,52.4,58.4,71.9,80.3,77.7,72.1,86.9,65.6,62.0,60.4,-20.87,-19.77,-12.74,-3.14,3.65,9.34,12.52,11.45,7.67,2.04,-4.76,-14.97,-9.08,-7.3,-0.89,7.93,16.29,21.87,25.02,23.74,19.03,11.9,2.95,-5.22
Three Pines Bog,47.0,-80.116667,1797.0,0.26954039858,371.0019,67.1,53.1,53.5,57.3,70.1,79.8,77.7,71.0,83.4,63.3,62.3,64.5,-19.6,-19.09,-12.97,-3.98,2.82,8.96,12.57,11.65,7.83,2.37,-3.99,-13.72,-8.84,-7.45,-1.47,7.1,15.48,21.34,24.82,23.84,19.33,12.36,3.47,-4.74
Three Pines Bog,47.0,-80.116667,2022.0,0.48425915613,413.002,58.9,46.9,50.4,57.8,73.6,85.1,85.1,81.0,98.3,72.8,65.7,60.6,-19.95,-19.09,-12.49,-3.3,3.22,8.81,12.04,11.12,7.59,2.3,-4.15,-14.09,-8.19,-6.63,-0.55,7.81,15.64,20.81,23.9,22.99,18.93,12.42,3.83,-4.24
Three Pines Bog,47.0,-80.116667,2472.0,0.53763151811,372.002,54.1,44.2,50.5,58.5,69.5,72.1,69.4,70.7,97.9,78.0,68.8,58.2,-20.74,-19.91,-13.09,-3.65,3.07,8.8,12.19,11.44,8.01,2.6,-4.19,-14.58,-9.49,-7.86,-1.46,7.36,15.69,21.27,24.56,23.6,19.24,12.28,3.18,-5.32
Three Pines Bog,47.0,-80.116667,2697.0,0.76922386594,390.0035,56.2,45.7,50.9,59.9,77.5,89.8,89.0,83.5,99.5,72.0,63.5,57.7,-19.42,-18.84,-12.7,-3.72,3.01,9.08,12.59,11.59,7.72,2.27,-4.03,-13.64,-7.96,-6.77,-1.33,6.82,15.13,21.15,24.67,23.52,18.75,11.83,3.39,-4.18
Three Pines Bog,47.0,-80.116667,2921.0,0.467288081934,428.0015,60.2,49.0,53.9,60.4,71.4,74.9,71.4,70.0,92.7,73.5,67.9,61.9,-19.39,-18.29,-11.52,-2.37,3.9,9.1,12.02,10.95,7.45,2.28,-4.0,-13.75,-7.48,-5.82,0.15,8.37,16.13,21.24,24.17,22.97,18.62,12.07,3.75,-3.88
Three Pines Bog,47.0,-80.116667,3146.0,0.431963203646,463.0024,59.7,47.8,53.1,60.7,73.3,78.7,77.2,78.6,106.7,84.2,74.8,64.3,-21.11,-19.78,-12.41,-2.65,4.05,9.46,12.44,11.33,7.62,2.02,-4.88,-15.23,-9.12,-7.21,-0.79,7.97,16.22,21.67,24.64,23.18,18.33,11.21,2.41,-5.49
Three Pines Bog,47.0,-80.116667,4143.0,0.279329140789,358.0006,55.2,44.1,46.9,53.8,70.0,83.7,84.0,77.5,89.4,64.3,58.5,55.6,-21.59,-20.79,-13.89,-4.13,3.08,9.33,12.98,12.14,8.32,2.47,-4.68,-15.3,-9.83,-8.42,-2.15,6.79,15.53,21.65,25.31,24.4,19.81,12.55,3.22,-5.46
Three Pines Bog,47.0,-80.116667,4285.0,0.273971702011,365.0012,51.4,40.7,44.8,53.2,70.5,84.7,87.3,84.8,103.1,74.2,63.5,55.1,-21.2,-20.64,-14.0,-4.56,2.35,8.39,12.11,11.63,8.34,2.92,-4.04,-14.72,-9.46,-8.42,-2.53,6.0,14.35,20.24,24.04,23.67,19.84,13.17,4.06,-4.77
Three Pines Bog,47.0,-80.116667,4569.0,0.233644259326,428.0011,62.3,46.8,46.6,50.8,64.4,77.5,80.7,78.9,97.1,73.5,68.6,65.0,-18.9,-19.09,-14.0,-5.48,1.69,8.78,13.06,12.2,7.99,2.36,-3.74,-12.99,-8.16,-7.58,-2.84,5.17,14.05,21.08,25.34,24.31,19.18,11.93,3.4,-4.14
Three Pines Bog,47.0,-80.116667,4711.0,0.267378535279,374.0016,55.7,42.6,45.4,50.7,61.4,67.7,69.2,73.3,103.2,83.1,73.8,62.2,-19.4,-18.85,-12.72,-3.72,3.04,9.14,12.71,11.77,7.97,2.53,-3.82,-13.53,-8.42,-7.05,-1.22,7.23,15.58,21.46,24.9,23.81,19.17,12.19,3.46,-4.49
