SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,Taxon Name,Value,PollenSum,Percentage,Units,Element,Context,Depth,ColUnit
15/1,55.091667,-75.25,,,,Picea,398.0,816.0,48.77450980392157,NISP,pollen,,0.0,15-1
15/2,55.833333,-75.016667,,,,Picea,432.5,960.5,45.028630921395106,NISP,pollen,,0.0,15-2
16/1,55.413333,-75.066667,,,,Picea,421.5,875.5,48.14391776127927,NISP,pollen,,0.0,16-1
17/1,55.066667,-75.7,,,,Picea,367.0,744.0,49.32795698924731,NISP,pollen,,0.0,17-1
17/2,55.25,-74.933333,,,,Picea,340.0,923.0,36.83640303358614,NISP,pollen,,0.0,17-2
17/3,55.116667,-75.95,,,,Picea,384.0,796.0,48.24120603015075,NISP,pollen,,0.0,17-3
Three Pines Bog,47.0,-80.116667,,,-26.0,Picea,6.0,476.0179,1.2604568021496672,NISP,pollen,,1.0,3PINES
Three Pines Bog,47.0,-80.116667,,,10.0,Picea,43.0,404.0231,10.642955811190005,NISP,pollen,,10.0,3PINES
Three Pines Bog,47.0,-80.116667,,,50.0,Picea,34.0,422.01210000000003,8.05664102996099,NISP,pollen,,20.0,3PINES
Three Pines Bog,47.0,-80.116667,,,90.0,Picea,40.0,473.003,8.456605983471563,NISP,pollen,,30.0,3PINES
Three Pines Bog,47.0,-80.116667,,,222.0,Picea,43.0,467.0023,9.20766343120794,NISP,pollen,,40.0,3PINES
Three Pines Bog,47.0,-80.116667,,,447.0,Picea,27.0,399.0017,6.766888461878734,NISP,pollen,,50.0,3PINES
Three Pines Bog,47.0,-80.116667,,,672.0,Picea,42.0,492.00120000000004,8.536564544964524,NISP,pollen,,60.0,3PINES
Three Pines Bog,47.0,-80.116667,,,897.0,Picea,8.0,433.0011,1.8475703641399523,NISP,pollen,,70.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1122.0,Picea,19.0,487.0023,3.901418946070686,NISP,pollen,,80.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1347.0,Picea,21.0,420.0,5.0,NISP,pollen,,90.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1572.0,Picea,11.0,470.00350000000003,2.3404081033439113,NISP,pollen,,100.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1797.0,Picea,18.0,371.0019,4.851727174443042,NISP,pollen,,110.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2022.0,Picea,10.0,413.002,2.4212957806499724,NISP,pollen,,120.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2247.0,Picea,11.0,447.00239999999997,2.460836899309713,NISP,pollen,,130.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2472.0,Picea,4.0,372.002,1.0752630362202353,NISP,pollen,,140.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2697.0,Picea,23.0,390.00350000000003,5.897382972204095,NISP,pollen,,150.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2921.0,Picea,9.0,428.00149999999996,2.1027963687043156,NISP,pollen,,160.0,3PINES
Three Pines Bog,47.0,-80.116667,,,3146.0,Picea,4.0,463.00239999999997,0.8639264072929211,NISP,pollen,,170.0,3PINES
Three Pines Bog,47.0,-80.116667,,,3371.0,Picea,12.0,418.0016,2.870802408411834,NISP,pollen,,180.0,3PINES
Three Pines Bog,47.0,-80.116667,,,3575.0,Picea,9.0,449.0009,2.00445032515525,NISP,pollen,,190.0,3PINES
Three Pines Bog,47.0,-80.116667,,,3717.0,Picea,8.0,429.0016,1.864794909855814,NISP,pollen,,200.0,3PINES
Three Pines Bog,47.0,-80.116667,,,3859.0,Picea,6.0,417.0017,1.438843055076274,NISP,pollen,,210.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4001.0,Picea,13.0,412.0017,3.155326786272969,NISP,pollen,,220.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4143.0,Picea,10.0,358.00059999999996,2.793291407891495,NISP,pollen,,230.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4285.0,Picea,6.0,365.0012,1.6438302120650565,NISP,pollen,,240.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4427.0,Picea,7.0,363.00149999999996,1.928366687189998,NISP,pollen,,250.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4569.0,Picea,6.0,428.0011,1.4018655559530104,NISP,pollen,,260.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4711.0,Picea,6.0,374.0016,1.6042712116739608,NISP,pollen,,270.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4853.0,Picea,7.0,342.0018,2.046772853242293,NISP,pollen,,280.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4995.0,Picea,7.0,358.0014,1.9552996161467526,NISP,pollen,,290.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5137.0,Picea,4.0,434.0032,0.9216521905829266,NISP,pollen,,300.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5279.0,Picea,4.0,446.0027,0.8968555571524567,NISP,pollen,,310.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5421.0,Picea,7.0,450.0019,1.555548987682052,NISP,pollen,,320.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5492.0,Picea,11.0,447.0023,2.4608374498296763,NISP,pollen,,325.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5705.0,Picea,8.0,435.028,1.8389620897965187,NISP,pollen,,340.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5846.0,Picea,8.0,435.0041,1.8390631260716852,NISP,pollen,,350.0,3PINES
Three Pines Bog,47.0,-80.116667,,,5988.0,Picea,3.0,461.0017,0.6507568193349395,NISP,pollen,,360.0,3PINES
Three Pines Bog,47.0,-80.116667,,,6130.0,Picea,4.0,443.004,0.9029263844118788,NISP,pollen,,370.0,3PINES
Three Pines Bog,47.0,-80.116667,,,6272.0,Picea,6.0,376.0018,1.5957370416843748,NISP,pollen,,380.0,3PINES
Three Pines Bog,47.0,-80.116667,,,6414.0,Picea,1.0,416.0009,0.2403840953228707,NISP,pollen,,390.0,3PINES
Three Pines Bog,47.0,-80.116667,,,6485.0,Picea,6.0,461.0428,1.3013976142778934,NISP,pollen,,395.0,3PINES
Ahlenmoor,53.7,8.733333,,,990.0,Picea,1.0,1044.0,0.09578544061302681,NISP,pollen,,6.0,AHL5
Ahlenmoor,53.7,8.733333,,,1039.0,Picea,1.0,1564.0,0.0639386189258312,NISP,pollen,,11.0,AHL5
Ahlenmoor,53.7,8.733333,,,1138.0,Picea,2.0,965.0,0.20725388601036268,NISP,pollen,,21.0,AHL5
Ahlenmoor,53.7,8.733333,,,1188.0,Picea,1.0,881.0,0.11350737797956867,NISP,pollen,,26.0,AHL5
Ahlenmoor,53.7,8.733333,,,1336.0,Picea,3.0,749.0,0.4005340453938585,NISP,pollen,,41.0,AHL5
Ahlenmoor,53.7,8.733333,,,1435.0,Picea,2.0,675.0,0.2962962962962963,NISP,pollen,,51.0,AHL5
Ahlenmoor,53.7,8.733333,,,1831.0,Picea,1.0,895.0,0.11173184357541899,NISP,pollen,,91.0,AHL5
Ahlenmoor,53.7,8.733333,,,2078.0,Picea,2.0,737.0,0.27137042062415195,NISP,pollen,,116.0,AHL5
Ahlenmoor,53.7,8.733333,,,2326.0,Picea,2.0,1070.0,0.1869158878504673,NISP,pollen,,141.0,AHL5
Ahlenmoor,53.7,8.733333,,,2375.0,Picea,1.0,4200.0,0.023809523809523808,NISP,pollen,,146.0,AHL5
Ahlenmoor,53.7,8.733333,,,2425.0,Picea,3.0,1324.0,0.22658610271903326,NISP,pollen,,151.0,AHL5
Ahlenmoor,53.7,8.733333,,,2474.0,Picea,3.0,1348.0,0.22255192878338279,NISP,pollen,,156.0,AHL5
Ahlenmoor,53.7,8.733333,,,2524.0,Picea,2.0,1176.0,0.17006802721088435,NISP,pollen,,161.0,AHL5
Ahlenmoor,53.7,8.733333,,,2623.0,Picea,1.0,1325.0,0.07547169811320754,NISP,pollen,,171.0,AHL5
Ahlenmoor,53.7,8.733333,,,2722.0,Picea,2.0,1017.0,0.19665683382497542,NISP,pollen,,181.0,AHL5
Ahlenmoor,53.7,8.733333,,,3019.0,Picea,1.0,994.0,0.1006036217303823,NISP,pollen,,211.0,AHL5
Ahlenmoor,53.7,8.733333,,,3415.0,Picea,2.0,1071.0,0.18674136321195145,NISP,pollen,,251.0,AHL5
Akuvaara,69.125,27.683333,,,670.0,Picea,10.0,866.0,1.1547344110854503,NISP,pollen,,0.0,AKUV
Akuvaara,69.125,27.683333,,,930.0,Picea,12.0,926.0,1.2958963282937366,NISP,pollen,,5.0,AKUV
Akuvaara,69.125,27.683333,,,1190.0,Picea,10.0,771.0,1.297016861219196,NISP,pollen,,10.0,AKUV
Akuvaara,69.125,27.683333,,,1450.0,Picea,8.0,848.0,0.9433962264150944,NISP,pollen,,15.0,AKUV
Akuvaara,69.125,27.683333,,,1710.0,Picea,6.0,761.0,0.7884362680683311,NISP,pollen,,20.0,AKUV
Akuvaara,69.125,27.683333,,,1970.0,Picea,10.0,797.0,1.2547051442910917,NISP,pollen,,25.0,AKUV
Akuvaara,69.125,27.683333,,,2230.0,Picea,5.0,937.0,0.5336179295624333,NISP,pollen,,30.0,AKUV
Akuvaara,69.125,27.683333,,,2490.0,Picea,5.0,771.0,0.648508430609598,NISP,pollen,,35.0,AKUV
Akuvaara,69.125,27.683333,,,2750.0,Picea,5.0,774.0,0.6459948320413437,NISP,pollen,,40.0,AKUV
Akuvaara,69.125,27.683333,,,3010.0,Picea,5.0,796.0,0.628140703517588,NISP,pollen,,45.0,AKUV
Akuvaara,69.125,27.683333,,,3270.0,Picea,6.0,787.0,0.7623888182973316,NISP,pollen,,50.0,AKUV
Akuvaara,69.125,27.683333,,,3530.0,Picea,5.0,919.0,0.544069640914037,NISP,pollen,,55.0,AKUV
Akuvaara,69.125,27.683333,,,4050.0,Picea,1.0,1064.0,0.09398496240601503,NISP,pollen,,65.0,AKUV
Akuvaara,69.125,27.683333,,,7155.0,Picea,2.0,705.0,0.28368794326241137,NISP,pollen,,115.0,AKUV
