SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,Taxon Name,Value,PollenSum,Percentage,Units,Element,Context,Depth,ColUnit
Goff Lake,44.4525,-109.838611,,,142.0,Sequoia,1.0,228.0,0.438596491228,NISP,pollen,,110.0,GOFF
Browns Island,38.04217,-121.86795,-34.0,128.0,27.0,Sequoia,1.0,14246.33,0.00701935165057,NISP,pollen,,10.0,BROWNS
Browns Island,38.04217,-121.86795,99.0,347.0,220.0,Sequoia,1.0,14275.33,0.00700509200138,NISP,pollen,,35.0,BROWNS
Roe Island,38.0723,-122.032935,-46.0,10.0,-25.0,Sequoia,2.0,14296.33,0.013989604325,NISP,pollen,,5.0,ROEISLND
Roe Island,38.0723,-122.032935,1810.0,2147.0,1972.0,Sequoia,1.0,14220.33,0.00703218561032,NISP,pollen,,310.0,ROEISLND
Bluff Lake,41.346515,-122.55987,10538.0,11469.0,10996.0,Sequoia,5.0,1482.0,0.337381916329,NISP,pollen,,277.0,BLUFFCA
Lilypad Lake,36.98229,-118.99407,3019.0,5451.0,4168.0,Sequoia,1.0,315.0,0.31746031746,NISP,pollen,,195.0,LILYPDCA
Lilypad Lake,36.98229,-118.99407,3815.0,6534.0,5115.0,Sequoia,1.0,231.0,0.4329004329,NISP,pollen,,230.0,LILYPDCA
Lilypad Lake,36.98229,-118.99407,5855.0,8748.0,7293.0,Sequoia,1.0,339.0,0.294985250737,NISP,pollen,,310.0,LILYPDCA
Lilypad Lake,36.98229,-118.99407,8936.0,11432.0,10144.0,Sequoia,3.0,347.0,0.864553314121,NISP,pollen,,415.0,LILYPDCA
Lilypad Lake,36.98229,-118.99407,10977.0,12967.0,11778.0,Sequoia,4.0,584.0,0.684931506849,NISP,pollen,,470.0,LILYPDCA
Lilypad Lake,36.98229,-118.99407,12809.0,16085.0,14794.0,Sequoia,1.0,393.0,0.254452926209,NISP,pollen,,519.0,LILYPDCA
Lower Lake,38.590035,-123.30498,,,-29.0,Sequoia,83.0,656.0,12.6524390244,NISP,pollen,,0.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,80.0,Sequoia,95.0,687.0,13.8282387191,NISP,pollen,,5.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,103.0,Sequoia,59.0,773.0,7.63260025873,NISP,pollen,,10.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,113.0,Sequoia,121.0,640.0,18.90625,NISP,pollen,,12.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,127.0,Sequoia,141.0,551.0,25.5898366606,NISP,pollen,,15.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,138.0,Sequoia,168.0,422.0,39.8104265403,NISP,pollen,,17.5,LOWERPLT
Lower Lake,38.590035,-123.30498,,,150.0,Sequoia,169.0,386.0,43.7823834197,NISP,pollen,,20.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,162.0,Sequoia,147.0,388.0,37.8865979381,NISP,pollen,,22.5,LOWERPLT
Lower Lake,38.590035,-123.30498,,,173.0,Sequoia,194.0,441.0,43.9909297052,NISP,pollen,,25.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,185.0,Sequoia,145.0,346.0,41.9075144509,NISP,pollen,,27.5,LOWERPLT
Lower Lake,38.590035,-123.30498,,,197.0,Sequoia,158.0,438.0,36.0730593607,NISP,pollen,,30.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,206.0,Sequoia,180.0,474.0,37.9746835443,NISP,pollen,,32.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,220.0,Sequoia,134.0,381.0,35.1706036745,NISP,pollen,,35.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,232.0,Sequoia,186.0,436.0,42.6605504587,NISP,pollen,,37.5,LOWERPLT
Lower Lake,38.590035,-123.30498,,,243.0,Sequoia,170.0,459.0,37.037037037,NISP,pollen,,40.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,253.0,Sequoia,173.0,390.0,44.358974359,NISP,pollen,,42.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,262.0,Sequoia,144.0,430.0,33.488372093,NISP,pollen,,44.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,276.0,Sequoia,147.0,484.0,30.3719008264,NISP,pollen,,47.0,LOWERPLT
Lower Lake,38.590035,-123.30498,,,299.0,Sequoia,120.0,583.0,20.5831903945,NISP,pollen,,52.0,LOWERPLT
Elkhorn Slough,36.82535,-121.76415,-36.0,-7.0,-23.0,Sequoia,13.0,476.0,2.73109243697,NISP,pollen,,3.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,66.0,96.0,80.0,Sequoia,6.0,565.0,1.06194690265,NISP,pollen,,27.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,157.0,732.0,377.0,Sequoia,6.0,636.0,0.943396226415,NISP,pollen,,52.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,630.0,1623.0,1090.0,Sequoia,16.0,442.0,3.61990950226,NISP,pollen,,106.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,1198.0,2309.0,1744.0,Sequoia,19.0,732.0,2.5956284153,NISP,pollen,,156.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,1466.0,2622.0,2046.0,Sequoia,22.0,667.0,3.29835082459,NISP,pollen,,179.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,1838.0,2945.0,2400.0,Sequoia,15.0,703.0,2.13371266003,NISP,pollen,,206.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,2536.0,3495.0,3054.0,Sequoia,7.0,372.0,1.88172043011,NISP,pollen,,256.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,2898.0,3752.0,3368.0,Sequoia,19.0,722.0,2.63157894737,NISP,pollen,,280.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,3339.0,3961.0,3675.0,Sequoia,21.0,690.0,3.04347826087,NISP,pollen,,304.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,3688.0,4373.0,4006.0,Sequoia,20.0,710.0,2.81690140845,NISP,pollen,,333.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,3842.0,4647.0,4205.0,Sequoia,20.0,573.0,3.49040139616,NISP,pollen,,356.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,4152.0,5002.0,4548.0,Sequoia,28.0,410.0,6.82926829268,NISP,pollen,,406.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,4458.0,5326.0,4870.0,Sequoia,17.0,713.0,2.38429172511,NISP,pollen,,453.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,4811.0,5694.0,5231.0,Sequoia,33.0,923.0,3.5752979415,NISP,pollen,,506.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,5173.0,6021.0,5577.0,Sequoia,20.0,728.0,2.74725274725,NISP,pollen,,557.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,5339.0,6177.0,5735.0,Sequoia,15.0,573.0,2.61780104712,NISP,pollen,,580.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,5539.0,6342.0,5911.0,Sequoia,28.0,1109.0,2.52479711452,NISP,pollen,,606.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,5949.0,6666.0,6252.0,Sequoia,14.0,683.0,2.04978038067,NISP,pollen,,656.0,ELKHORN
Elkhorn Slough,36.82535,-121.76415,6270.0,6889.0,6474.0,Sequoia,13.0,472.0,2.75423728814,NISP,pollen,,689.0,ELKHORN
