SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,Taxon Name,Value,PollenSum,Percentage,Units,Element,Context,Depth,ColUnit
Three Pines Bog,47.0,-80.116667,,,10.0,Tsuga,1.0,404.0231,0.24751060026,NISP,pollen,,10.0,3PINES
Three Pines Bog,47.0,-80.116667,,,50.0,Tsuga,2.0,422.0121,0.473920060586,NISP,pollen,,20.0,3PINES
Three Pines Bog,47.0,-80.116667,,,90.0,Tsuga,2.0,473.003,0.422830299174,NISP,pollen,,30.0,3PINES
Three Pines Bog,47.0,-80.116667,,,222.0,Tsuga,3.0,467.0023,0.642395123108,NISP,pollen,,40.0,3PINES
Three Pines Bog,47.0,-80.116667,,,447.0,Tsuga,1.0,399.0017,0.250625498588,NISP,pollen,,50.0,3PINES
Three Pines Bog,47.0,-80.116667,,,672.0,Tsuga,2.0,492.0012,0.40650307357,NISP,pollen,,60.0,3PINES
Three Pines Bog,47.0,-80.116667,,,897.0,Tsuga,1.0,433.0011,0.230946295517,NISP,pollen,,70.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1122.0,Tsuga,7.0,487.0023,1.43736487487,NISP,pollen,,80.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1347.0,Tsuga,2.0,420.0,0.47619047619,NISP,pollen,,90.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1572.0,Tsuga,2.0,470.0035,0.425528746063,NISP,pollen,,100.0,3PINES
Three Pines Bog,47.0,-80.116667,,,1797.0,Tsuga,1.0,371.0019,0.26954039858,NISP,pollen,,110.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2022.0,Tsuga,2.0,413.002,0.48425915613,NISP,pollen,,120.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2472.0,Tsuga,2.0,372.002,0.53763151811,NISP,pollen,,140.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2697.0,Tsuga,3.0,390.0035,0.76922386594,NISP,pollen,,150.0,3PINES
Three Pines Bog,47.0,-80.116667,,,2921.0,Tsuga,2.0,428.0015,0.467288081934,NISP,pollen,,160.0,3PINES
Three Pines Bog,47.0,-80.116667,,,3146.0,Tsuga,2.0,463.0024,0.431963203646,NISP,pollen,,170.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4143.0,Tsuga,1.0,358.0006,0.279329140789,NISP,pollen,,230.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4285.0,Tsuga,1.0,365.0012,0.273971702011,NISP,pollen,,240.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4569.0,Tsuga,1.0,428.0011,0.233644259326,NISP,pollen,,260.0,3PINES
Three Pines Bog,47.0,-80.116667,,,4711.0,Tsuga,1.0,374.0016,0.267378535279,NISP,pollen,,270.0,3PINES
