siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Goff Lake,44.4525,-109.838611,142.0,0.438596491228,228.0,48.5,34.2,40.2,45.6,51.6,52.6,29.5,37.0,40.0,40.4,37.4,41.2,-15.98,-15.18,-13.19,-8.14,-2.88,0.71,4.08,3.15,-1.16,-5.28,-11.41,-14.7,-3.86,-2.69,-0.47,5.08,11.24,16.35,21.18,20.28,14.56,8.37,0.76,-2.59,34.851666666666667,-48.18166666666667,189.54235510097038,9.3602081826325954,4.0800000000000001,29.5,-25.420000000000002,42.346666666666664,26.013333333333332,46.49666666666667,26.013333333333332,88.21000000000001,21.18,-3.8599999999999999,106.1319868442765,57.810000000000002,-9.1399999999999988,10.890000000000001,-3.0466666666666664
Browns Island,38.04217,-121.86795,27.0,0.00701935165057,14246.33,124.9,100.5,59.7,28.2,13.1,6.0,1.3,1.7,5.3,21.5,41.9,90.8,3.26,4.86,6.17,7.28,9.49,11.75,13.03,12.68,11.74,9.06,5.45,3.33,12.33,15.8,18.59,22.0,25.96,29.83,32.5,31.94,30.12,25.23,18.23,12.82,49.416666666666664,-33.06666666666666,-281.898266552998,38.06089163724652,13.029999999999999,1.3,11.729999999999999,15.25,109.21666666666665,109.21666666666665,15.25,275.34999999999997,32.5,12.33,29.37494241966472,94.560000000000002,40.950000000000003,13.65,31.52
Browns Island,38.04217,-121.86795,220.0,0.00700509200138,14275.33,110.0,94.7,63.8,29.8,12.0,4.7,1.0,1.3,4.9,22.8,44.6,85.3,3.12,4.88,6.33,7.52,9.74,11.94,13.08,12.55,11.43,8.66,5.05,3.04,12.14,15.69,18.52,21.99,26.02,29.95,32.57,31.86,29.82,24.79,17.8,12.5,47.68666666666666,-31.463333333333335,-260.4580573951435,34.641204591577868,13.08,1.0,12.08,14.856666666666667,100.34666666666668,100.34666666666668,14.753333333333332,273.65,32.57,12.140000000000001,29.866127788990802,94.379999999999995,40.329999999999998,13.443333333333333,31.416666666666668
Roe Island,38.0723,-122.032935,-25.0,0.013989604325,14296.33,158.8,133.0,87.9,39.9,15.3,6.7,0.7,2.0,7.7,47.7,95.2,151.8,3.74,4.86,5.31,6.13,8.36,10.92,12.25,12.34,11.79,9.78,6.71,4.39,12.81,15.07,16.97,19.28,22.63,26.2,28.4,28.24,27.36,23.63,18.01,13.52,70.273333333333326,-54.17666666666667,-465.43528064146625,55.286957825110576,12.34,0.69999999999999996,11.640000000000001,15.593333333333334,152.19666666666669,152.19666666666669,14.969999999999999,252.11999999999998,28.399999999999999,12.81,25.247874033927104,84.0,41.399999999999999,13.799999999999999,27.61333333333333
Roe Island,38.0723,-122.032935,1972.0,0.00703218561032,14220.33,173.0,152.0,108.9,51.5,19.6,8.3,0.9,2.4,9.4,58.1,111.6,167.5,3.82,4.98,5.34,5.9,7.71,9.84,10.93,11.06,10.79,9.14,6.39,4.31,12.52,14.45,15.91,17.87,21.08,24.72,27.11,27.22,26.62,23.17,17.76,13.36,79.450833333333321,-64.41583333333334,-634.01410761154864,62.095046428617977,11.06,0.90000000000000002,10.16,15.159999999999998,168.53666666666666,168.53666666666666,14.476666666666667,241.79000000000002,27.219999999999999,12.52,25.051786786659711,80.950000000000003,40.329999999999998,13.443333333333333,26.349999999999998
Bluff Lake,41.346515,-122.55987,10996.0,0.337381916329,1482.0,156.1,149.2,139.7,90.8,48.5,23.4,8.9,12.5,29.3,114.4,221.1,173.7,-5.13,-4.18,-4.25,-2.53,1.68,6.05,9.25,7.58,3.73,-0.81,-3.58,-5.3,4.84,6.83,7.58,10.6,15.98,21.95,27.1,25.49,19.91,12.96,6.61,4.49,97.509166666666673,-97.09083333333335,-27740.238095238128,64.323226035693267,9.25,8.9000000000000004,0.34999999999999964,22.559999999999999,178.96333333333334,178.96333333333334,22.559999999999999,164.34000000000003,27.100000000000001,4.4900000000000002,53.394945034879839,74.539999999999992,15.940000000000001,5.3133333333333335,24.846666666666664
Lilypad Lake,36.98229,-118.99407,4168.0,0.31746031746,315.0,114.9,117.1,109.2,64.4,30.5,19.0,20.9,15.2,16.3,29.7,48.6,106.9,-7.34,-7.43,-7.3,-5.63,-1.67,2.08,6.12,5.17,2.32,-1.25,-5.21,-7.57,8.45,7.96,8.12,10.85,16.19,22.29,27.66,27.01,23.49,18.29,12.4,9.16,55.415833333333332,-60.03416666666667,661.16923641703397,36.410862495124839,6.1200000000000001,15.199999999999999,-9.0799999999999983,22.003333333333334,106.37666666666667,106.37666666666667,22.003333333333334,191.87,27.66,7.96,42.585371524919928,78.159999999999997,24.530000000000001,8.1766666666666676,26.053333333333331
Lilypad Lake,36.98229,-118.99407,5115.0,0.4329004329,231.0,161.2,153.8,126.9,66.6,28.8,16.7,18.6,15.0,18.8,38.6,68.0,152.8,-7.45,-7.43,-7.2,-5.51,-1.63,1.97,5.89,4.89,2.05,-1.49,-5.42,-7.75,8.12,7.58,7.79,10.68,16.26,22.64,28.16,27.51,23.85,18.44,12.34,8.94,69.726666666666674,-74.57333333333334,818.58763263812671,52.939749138892694,5.8899999999999997,15.0,-9.1099999999999994,21.743333333333336,139.94,148.39000000000001,21.016666666666666,192.31,28.16,7.5800000000000001,44.343649047837054,79.52000000000001,23.489999999999998,8.2133333333333329,26.103333333333335
Lilypad Lake,36.98229,-118.99407,7293.0,0.294985250737,339.0,147.0,141.5,128.3,77.9,39.4,26.3,31.1,24.0,26.1,45.3,70.1,146.2,-8.29,-7.96,-7.48,-5.48,-1.26,2.58,6.37,4.83,1.23,-2.85,-6.89,-8.96,7.27,7.14,7.58,10.78,16.78,23.49,28.8,27.32,22.54,16.42,10.31,7.47,72.420000000000002,-78.11333333333333,443.07052372849307,44.612016878863479,6.3700000000000001,24.0,-17.629999999999999,31.726666666666663,136.49666666666667,136.49666666666667,31.209999999999997,185.9,28.800000000000001,7.1399999999999997,47.826560551054556,79.609999999999999,21.879999999999999,7.293333333333333,26.219999999999999
Lilypad Lake,36.98229,-118.99407,10144.0,0.864553314121,347.0,116.4,118.2,116.2,67.0,28.5,15.5,16.8,14.1,18.9,38.9,63.0,121.0,-8.26,-7.98,-7.65,-5.54,-0.87,3.55,7.55,5.7,1.46,-3.09,-7.22,-9.07,7.4,7.29,7.58,10.81,17.11,24.2,29.58,27.73,22.33,15.83,9.78,7.32,58.590000000000011,-63.826666666666675,974.45292620865166,38.359685652170469,7.5499999999999998,14.1,-6.5499999999999998,21.066666666666666,110.09666666666665,110.09666666666665,21.066666666666666,186.95999999999998,29.579999999999998,7.29,48.941758310794661,81.510000000000005,22.010000000000002,7.3366666666666669,27.170000000000002
