siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Goff Lake,44.4525,-109.838611,142.0,0.438596491228,228.0,48.5,34.2,40.2,45.6,51.6,52.6,29.5,37.0,40.0,40.4,37.4,41.2,-15.98,-15.18,-13.19,-8.14,-2.88,0.71,4.08,3.15,-1.16,-5.28,-11.41,-14.7,-3.86,-2.69,-0.47,5.08,11.24,16.35,21.18,20.28,14.56,8.37,0.76,-2.59
Browns Island,38.04217,-121.86795,27.0,0.00701935165057,14246.33,124.9,100.5,59.7,28.2,13.1,6.0,1.3,1.7,5.3,21.5,41.9,90.8,3.26,4.86,6.17,7.28,9.49,11.75,13.03,12.68,11.74,9.06,5.45,3.33,12.33,15.8,18.59,22.0,25.96,29.83,32.5,31.94,30.12,25.23,18.23,12.82
Browns Island,38.04217,-121.86795,220.0,0.00700509200138,14275.33,110.0,94.7,63.8,29.8,12.0,4.7,1.0,1.3,4.9,22.8,44.6,85.3,3.12,4.88,6.33,7.52,9.74,11.94,13.08,12.55,11.43,8.66,5.05,3.04,12.14,15.69,18.52,21.99,26.02,29.95,32.57,31.86,29.82,24.79,17.8,12.5
Roe Island,38.0723,-122.032935,-25.0,0.013989604325,14296.33,158.8,133.0,87.9,39.9,15.3,6.7,0.7,2.0,7.7,47.7,95.2,151.8,3.74,4.86,5.31,6.13,8.36,10.92,12.25,12.34,11.79,9.78,6.71,4.39,12.81,15.07,16.97,19.28,22.63,26.2,28.4,28.24,27.36,23.63,18.01,13.52
Roe Island,38.0723,-122.032935,1972.0,0.00703218561032,14220.33,173.0,152.0,108.9,51.5,19.6,8.3,0.9,2.4,9.4,58.1,111.6,167.5,3.82,4.98,5.34,5.9,7.71,9.84,10.93,11.06,10.79,9.14,6.39,4.31,12.52,14.45,15.91,17.87,21.08,24.72,27.11,27.22,26.62,23.17,17.76,13.36
Bluff Lake,41.346515,-122.55987,10996.0,0.337381916329,1482.0,156.1,149.2,139.7,90.8,48.5,23.4,8.9,12.5,29.3,114.4,221.1,173.7,-5.13,-4.18,-4.25,-2.53,1.68,6.05,9.25,7.58,3.73,-0.81,-3.58,-5.3,4.84,6.83,7.58,10.6,15.98,21.95,27.1,25.49,19.91,12.96,6.61,4.49
Lilypad Lake,36.98229,-118.99407,4168.0,0.31746031746,315.0,114.9,117.1,109.2,64.4,30.5,19.0,20.9,15.2,16.3,29.7,48.6,106.9,-7.34,-7.43,-7.3,-5.63,-1.67,2.08,6.12,5.17,2.32,-1.25,-5.21,-7.57,8.45,7.96,8.12,10.85,16.19,22.29,27.66,27.01,23.49,18.29,12.4,9.16
Lilypad Lake,36.98229,-118.99407,5115.0,0.4329004329,231.0,161.2,153.8,126.9,66.6,28.8,16.7,18.6,15.0,18.8,38.6,68.0,152.8,-7.45,-7.43,-7.2,-5.51,-1.63,1.97,5.89,4.89,2.05,-1.49,-5.42,-7.75,8.12,7.58,7.79,10.68,16.26,22.64,28.16,27.51,23.85,18.44,12.34,8.94
Lilypad Lake,36.98229,-118.99407,7293.0,0.294985250737,339.0,147.0,141.5,128.3,77.9,39.4,26.3,31.1,24.0,26.1,45.3,70.1,146.2,-8.29,-7.96,-7.48,-5.48,-1.26,2.58,6.37,4.83,1.23,-2.85,-6.89,-8.96,7.27,7.14,7.58,10.78,16.78,23.49,28.8,27.32,22.54,16.42,10.31,7.47
Lilypad Lake,36.98229,-118.99407,10144.0,0.864553314121,347.0,116.4,118.2,116.2,67.0,28.5,15.5,16.8,14.1,18.9,38.9,63.0,121.0,-8.26,-7.98,-7.65,-5.54,-0.87,3.55,7.55,5.7,1.46,-3.09,-7.22,-9.07,7.4,7.29,7.58,10.81,17.11,24.2,29.58,27.73,22.33,15.83,9.78,7.32
Lilypad Lake,36.98229,-118.99407,11778.0,0.684931506849,584.0,149.1,130.0,111.3,60.5,27.1,16.9,21.3,19.9,28.3,60.7,98.2,175.4,-9.39,-8.93,-8.27,-5.9,-1.11,3.27,7.2,5.28,0.97,-3.73,-8.09,-10.16,6.43,6.68,7.17,10.52,16.88,23.9,28.98,26.63,20.69,13.91,7.95,5.9
Lilypad Lake,36.98229,-118.99407,14794.0,0.254452926209,393.0,173.9,170.3,183.5,88.0,24.8,9.0,9.0,10.6,27.1,97.6,178.2,238.1,-10.53,-9.98,-9.21,-7.09,-2.98,0.58,4.16,2.56,-0.95,-4.99,-9.08,-11.24,5.32,5.17,4.99,7.85,14.13,21.41,26.73,24.45,18.5,11.88,6.32,4.71
Lower Lake,38.590035,-123.30498,-29.0,12.6524390244,656.0,217.0,185.2,141.1,68.3,25.5,7.4,2.4,2.5,9.8,41.7,115.4,182.4,2.87,4.15,5.16,6.55,9.0,10.99,12.03,11.91,11.0,8.71,5.43,3.08,13.36,15.9,17.56,20.06,23.47,26.6,29.18,28.65,27.32,23.64,17.53,13.67
Lower Lake,38.590035,-123.30498,80.0,13.8282387191,687.0,201.8,171.2,138.5,74.1,30.9,9.9,3.4,3.5,13.3,52.7,130.6,183.0,2.67,3.46,3.51,4.34,6.98,9.66,11.08,10.77,9.31,6.89,4.1,2.58,13.04,14.83,15.17,16.93,20.59,24.66,27.84,27.18,25.27,21.46,15.97,13.07
Lower Lake,38.590035,-123.30498,103.0,7.63260025873,773.0,224.8,172.2,123.8,61.7,25.5,8.5,3.1,3.5,14.1,59.3,152.7,214.9,2.57,3.62,4.07,5.1,7.62,9.96,11.14,10.81,9.5,7.13,4.21,2.49,12.66,14.98,16.18,18.37,21.8,25.16,27.87,27.25,25.71,22.03,16.22,12.79
Lower Lake,38.590035,-123.30498,113.0,18.90625,640.0,228.2,185.3,146.8,75.6,30.0,9.2,3.3,3.7,15.8,68.1,170.1,222.5,2.87,3.98,4.48,5.44,7.73,9.79,10.83,10.57,9.49,7.32,4.51,2.78,12.5,14.88,16.17,18.4,21.76,25.01,27.66,27.07,25.63,22.0,16.16,12.66
Lower Lake,38.590035,-123.30498,127.0,25.5898366606,551.0,299.5,221.6,134.9,63.7,28.4,10.5,3.7,3.6,12.0,45.4,128.2,238.9,2.87,3.9,4.37,5.28,7.49,9.49,10.58,10.49,9.63,7.6,4.77,2.91,12.8,15.1,16.39,18.57,21.82,24.95,27.63,27.23,26.06,22.6,16.75,13.1
Lower Lake,38.590035,-123.30498,138.0,39.8104265403,422.0,262.2,196.1,148.1,80.6,37.2,13.8,5.4,6.2,25.1,99.2,228.1,277.2,3.34,4.31,4.61,5.38,7.54,9.56,10.65,10.53,9.65,7.66,4.98,3.3,13.34,15.54,16.6,18.58,21.76,24.92,27.62,27.22,26.05,22.67,17.01,13.56
Lower Lake,38.590035,-123.30498,150.0,43.7823834197,386.0,213.0,177.4,151.2,83.1,34.2,10.7,3.8,4.4,18.7,77.8,181.2,216.7,2.8,3.88,4.37,5.3,7.54,9.54,10.6,10.43,9.49,7.41,4.59,2.78,13.09,15.23,16.14,18.14,21.55,25.04,27.88,27.32,25.79,22.18,16.5,13.22
Lower Lake,38.590035,-123.30498,162.0,37.8865979381,388.0,285.7,224.0,154.9,77.0,32.9,11.2,3.9,3.9,14.4,56.3,150.3,244.0,4.08,4.97,4.93,5.44,7.57,9.71,10.81,10.48,9.32,7.3,4.93,3.75,13.94,15.86,16.44,18.11,21.3,24.71,27.61,27.23,25.98,22.66,17.24,14.11
Lower Lake,38.590035,-123.30498,173.0,43.9909297052,441.0,248.2,206.3,156.2,85.6,40.0,14.4,4.9,4.7,15.4,54.4,134.3,209.6,2.6,3.53,3.81,4.72,7.21,9.62,10.88,10.61,9.34,7.03,4.19,2.53,12.41,14.39,15.21,17.3,21.0,24.88,27.98,27.45,25.77,21.95,16.1,12.69
Lower Lake,38.590035,-123.30498,185.0,41.9075144509,346.0,300.8,252.5,179.8,83.4,30.8,8.9,2.9,2.9,11.1,47.8,138.5,239.5,3.33,4.34,4.59,5.32,7.47,9.49,10.53,10.26,9.21,7.18,4.6,3.13,13.73,15.68,16.23,17.99,21.39,25.05,28.01,27.44,25.83,22.25,16.79,13.78
Lower Lake,38.590035,-123.30498,197.0,36.0730593607,438.0,330.4,226.3,122.5,65.4,41.7,23.3,9.0,7.0,16.1,44.4,113.9,241.7,3.55,4.18,4.01,4.5,6.71,9.03,10.4,10.39,9.49,7.56,5.05,3.55,13.1,15.02,15.88,17.78,20.98,24.28,27.24,27.16,26.29,23.05,17.32,13.63
Lower Lake,38.590035,-123.30498,206.0,37.9746835443,474.0,214.4,176.1,144.1,70.9,25.3,7.1,2.5,3.0,14.7,70.3,179.7,218.9,4.07,4.73,4.51,5.02,7.33,9.78,11.15,10.98,9.83,7.76,5.27,3.94,13.9,15.68,16.04,17.74,21.26,25.17,28.31,27.77,26.08,22.44,16.98,14.01
Lower Lake,38.590035,-123.30498,220.0,35.1706036745,381.0,256.7,212.9,153.9,75.5,30.4,9.7,3.2,3.2,11.5,45.9,126.0,210.0,3.24,4.39,4.85,5.69,7.8,9.68,10.6,10.31,9.3,7.27,4.61,3.04,13.16,15.51,16.67,18.71,21.87,24.93,27.5,26.95,25.65,22.22,16.58,13.24
Lower Lake,38.590035,-123.30498,232.0,42.6605504587,436.0,338.0,269.9,183.9,100.3,51.7,21.0,7.3,6.3,18.2,58.3,147.1,263.1,4.49,5.21,4.99,5.34,7.36,9.48,10.67,10.55,9.63,7.81,5.51,4.29,14.44,16.01,16.11,17.54,20.84,24.63,27.85,27.58,26.27,22.95,17.66,14.68
Lower Lake,38.590035,-123.30498,243.0,37.037037037,459.0,321.8,256.0,161.0,76.1,32.9,11.4,3.7,3.3,10.7,39.8,115.6,233.3,2.6,3.44,3.8,4.64,6.85,8.9,10.15,10.31,9.72,7.82,4.93,2.87,12.54,14.38,15.22,17.21,20.62,24.18,27.32,27.28,26.31,22.93,17.03,13.2
Lower Lake,38.590035,-123.30498,253.0,44.358974359,390.0,288.1,226.2,148.9,63.0,21.4,5.9,1.9,2.1,9.3,44.7,138.9,240.0,2.8,3.69,3.88,4.7,7.08,9.4,10.65,10.44,9.3,7.11,4.37,2.74,12.46,14.52,15.49,17.57,21.04,24.58,27.54,27.14,25.77,22.17,16.34,12.8
Lower Lake,38.590035,-123.30498,262.0,33.488372093,430.0,276.3,227.6,168.1,84.3,34.4,10.9,3.7,3.7,14.0,56.1,149.3,235.5,2.31,3.28,3.82,4.97,7.57,9.98,11.3,11.16,10.04,7.67,4.54,2.48,12.23,14.22,15.21,17.47,21.23,25.1,28.27,27.9,26.39,22.56,16.49,12.73
