Age,Frequency,TempC
0.0951409,66.33970672,-31.5913
0.10713,92.34257927,-31.622
0.113149,60.6196096,-31.6026
0.119205,87.09294167,-31.6002
0.119205,98.43381839,-31.598
0.125451,20.86448626,-31.6656
0.132407,32.42419269,-31.7235
0.138807,20.61765207,-31.7583
0.145126,3.039021812,-31.8098
0.152263,52.76499979,-31.8415
0.152263,36.49431699,-31.8813
0.15938,42.80568692,-31.9559
0.165464,13.48601222,-32.0241
0.171847,81.82947617,-32.038
0.179421,60.24447121,-31.9872
0.186623,36.88223341,-31.9689
0.193605,87.80275815,-31.9954
0.200585,19.02398834,-32.022
0.200585,78.7074805,-32.0291
0.208106,14.14144839,-32.0198
0.215304,55.04422079,-32.0128
0.223068,92.3255306,-32.0254
0.231056,46.75759364,-32.0263
0.238562,10.9488874,-32.0213
0.245663,33.76224086,-32.0117
0.253461,81.13369132,-32.0337
0.261287,80.42906231,-32.0807
0.268471,64.45475715,-32.072
0.275943,94.43255186,-32.0267
0.284122,56.29464135,-32.0002
0.292523,96.75170052,-31.988
0.292523,43.0697385,-32.0024
0.29988,42.60778317,-32.0013
0.307306,21.91148004,-32.0133
0.314683,78.87466468,-32.0339
0.322114,1.626626501,-32.0898
0.330199,83.93331737,-32.0848
0.338479,41.84119691,-32.0848
0.346279,10.5950669,-32.037
0.354187,25.58748469,-32.005
0.361642,43.88958463,-31.9876
0.36936,99.04889377,-31.9811
0.377252,20.04714991,-31.9811
0.385137,1.475393537,-31.9926
0.393705,3.408906067,-31.9715
0.402092,98.9754261,-31.942
0.409803,56.93463319,-31.9187
0.417837,72.07232922,-31.9126
0.426195,90.64868634,-31.9385
0.435395,89.88710437,-31.9591
0.444124,3.98423079,-31.9648
0.444124,73.3368802,-32.0093
0.452151,9.418613118,-32.0243
0.460146,32.47637052,-31.9889
0.46821,31.09023157,-31.942
0.477154,43.08372917,-31.885
0.48586,61.03425475,-31.8772
0.493906,32.26468904,-31.8572
0.502128,43.63638177,-31.884
0.510547,38.54176749,-31.8584
0.51961,10.14987639,-31.8444
0.529979,67.14872864,-31.8076
0.538161,96.94567865,-31.8108
0.546961,45.40959693,-31.9024
0.555786,31.12758317,-31.9472
0.563878,18.12260136,-32.0128
0.571734,58.61285523,-32.0312
0.579811,45.98639644,-32.016
0.588184,32.20704352,-31.99
0.596972,84.86170023,-31.9488
0.604848,87.4917865,-31.9144
0.613338,76.27228804,-31.8792
0.621464,79.47191392,-31.8316
0.629783,16.2114073,-31.7896
0.638325,89.05842754,-31.7176
0.6469,79.97460242,-31.7244
0.655271,9.876546148,-31.7816
0.663814,48.50429267,-31.7732
0.672368,69.4319386,-31.7012
0.681144,34.9279504,-31.6588
0.689778,75.41198276,-31.7204
0.698622,80.47065139,-31.7436
0.707583,40.046163,-31.8088
0.716254,14.61095771,-31.8296
0.724727,72.41793997,-31.8896
0.733744,10.31368194,-31.9744
0.742976,61.16555474,-31.9956
