Age,YearsBP,TempC
0.0951409,95.1409,-31.5913
0.10713,107.13,-31.622
0.113149,113.149,-31.6026
0.119205,119.205,-31.6002
0.119205,119.205,-31.598
0.125451,125.451,-31.6656
0.132407,132.407,-31.7235
0.138807,138.807,-31.7583
0.145126,145.126,-31.8098
0.152263,152.263,-31.8415
0.152263,152.263,-31.8813
0.15938,159.38,-31.9559
0.165464,165.464,-32.0241
0.171847,171.847,-32.038
0.179421,179.421,-31.9872
0.186623,186.623,-31.9689
0.193605,193.605,-31.9954
0.200585,200.585,-32.022
0.200585,200.585,-32.0291
0.208106,208.106,-32.0198
0.215304,215.304,-32.0128
0.223068,223.068,-32.0254
0.231056,231.056,-32.0263
0.238562,238.562,-32.0213
0.245663,245.663,-32.0117
0.253461,253.461,-32.0337
0.261287,261.287,-32.0807
0.268471,268.471,-32.072
0.275943,275.943,-32.0267
0.284122,284.122,-32.0002
0.292523,292.523,-31.988
0.292523,292.523,-32.0024
0.29988,299.88,-32.0013
0.307306,307.306,-32.0133
0.314683,314.683,-32.0339
0.322114,322.114,-32.0898
0.330199,330.199,-32.0848
0.338479,338.479,-32.0848
0.346279,346.279,-32.037
0.354187,354.187,-32.005
0.361642,361.642,-31.9876
0.36936,369.36,-31.9811
0.377252,377.252,-31.9811
0.385137,385.137,-31.9926
0.393705,393.705,-31.9715
0.402092,402.092,-31.942
0.409803,409.803,-31.9187
0.417837,417.837,-31.9126
0.426195,426.195,-31.9385
0.435395,435.395,-31.9591
0.444124,444.124,-31.9648
0.444124,444.124,-32.0093
0.452151,452.151,-32.0243
0.460146,460.146,-31.9889
0.46821,468.21,-31.942
0.477154,477.154,-31.885
0.48586,485.86,-31.8772
0.493906,493.906,-31.8572
0.502128,502.128,-31.884
0.510547,510.547,-31.8584
0.51961,519.61,-31.8444
0.529979,529.979,-31.8076
0.538161,538.161,-31.8108
0.546961,546.961,-31.9024
0.555786,555.786,-31.9472
0.563878,563.878,-32.0128
0.571734,571.734,-32.0312
0.579811,579.811,-32.016
0.588184,588.184,-31.99
0.596972,596.972,-31.9488
0.604848,604.848,-31.9144
0.613338,613.338,-31.8792
0.621464,621.464,-31.8316
0.629783,629.783,-31.7896
0.638325,638.325,-31.7176
0.6469,646.9,-31.7244
0.655271,655.271,-31.7816
0.663814,663.814,-31.7732
0.672368,672.368,-31.7012
0.681144,681.144,-31.6588
0.689778,689.778,-31.7204
0.698622,698.622,-31.7436
0.707583,707.583,-31.8088
0.716254,716.254,-31.8296
0.724727,724.727,-31.8896
0.733744,733.744,-31.9744
0.742976,742.976,-31.9956
0.751827,751.827,-31.9024
0.760574,760.574,-31.7144
0.769708,769.708,-31.5472
0.77945,779.45,-31.4508
0.789362,789.362,-31.3852
0.798428,798.428,-31.3748
0.807722,807.722,-31.3456
0.81694,816.94,-31.3132
0.826615,826.615,-31.3156
0.835738,835.738,-31.3444
0.844395,844.395,-31.36
0.852799,852.799,-31.3656
0.860838,860.838,-31.3844
0.86922,869.22,-31.378
0.878411,878.411,-31.3224
0.886462,886.462,-31.2496
0.895097,895.097,-31.2776
0.903091,903.091,-31.2616
0.912228,912.228,-31.2084
0.922222,922.222,-31.0276
0.931148,931.148,-30.9288
0.939188,939.188,-30.8272
0.947684,947.684,-30.6236
0.955867,955.867,-30.4956
0.964939,964.939,-30.4628
0.973903,973.903,-30.5276
0.981625,981.625,-30.6348
0.990328,990.328,-30.6732
0.998549,998.549,-30.6752
1.00806,1008.06,-30.7012
1.01675,1016.75,-30.7436
1.02498,1024.98,-30.886
1.03373,1033.73,-30.986
1.04265,1042.65,-31.0792
1.05126,1051.26,-31.0816
1.05927,1059.27,-31.0876
1.06818,1068.18,-31.0812
1.07716,1077.16,-31.1404
1.08641,1086.41,-31.1968
1.09554,1095.54,-31.2252
1.10413,1104.13,-31.26
1.11306,1113.06,-31.3228
1.12125,1121.25,-31.45
1.13051,1130.51,-31.5652
1.13904,1139.04,-31.5872
1.14735,1147.35,-31.6168
1.15586,1155.86,-31.666
1.16476,1164.76,-31.8344
1.17328,1173.28,-31.9684
1.18046,1180.46,-32.0592
1.18887,1188.87,-32.1312
1.19794,1197.94,-32.1568
1.20626,1206.26,-32.1876
1.21472,1214.72,-32.1728
1.224,1224,-32.1616
1.23259,1232.59,-32.142
1.24154,1241.54,-32.0588
1.24954,1249.54,-32
1.25801,1258.01,-31.9184
1.26691,1266.91,-31.914
1.27608,1276.08,-31.8824
1.2859,1285.9,-31.8288
1.2859,1285.9,-31.7664
1.29524,1295.24,-31.7312
1.29524,1295.24,-31.7696
1.30404,1304.04,-31.79
1.30404,1304.04,-31.7968
1.31223,1312.23,-31.7416
